date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:12:37	4915/4915	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:24%20GMT	http://www.hantang.com/english/en_Articles/menses.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/menses.html	(from http://www.hantang.com/english/en_index.html)
21:12:37	3202/3202	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:18%20GMT	http://www.hantang.com/english/en_Articles/clots.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/clots.html	(from http://www.hantang.com/english/en_index.html)
21:12:38	4057/4057	---M--	200	added ('OK')	image/gif	date:Fri,%2003%20Aug%202012%2005:36:02%20GMT	http://www.hantang.com/english/images/new.gif	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/images/new.gif	(from http://www.hantang.com/english/en_index.html)
21:12:38	1106/1106	---M-Z	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202012%2010:07:05%20GMT	http://www.hantang.com/english/Patients%20Improving%20Testimony.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/Patients%20Improving%20Testimony.html	(from http://www.hantang.com/english/en_index.html)
21:12:39	9189/9189	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:32%20GMT	http://www.hantang.com/english/en_Articles/woman.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/woman.html	(from http://www.hantang.com/english/en_index.html)
21:12:40	199976/199976	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Mar%202014%2006:54:07%20GMT	http://www.hantang.com/13252.jpg	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/13252.jpg	(from http://www.hantang.com/)
21:12:40	4527/4527	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:16%20GMT	http://www.hantang.com/english/en_Articles/Bio_warfare.html	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/Bio_warfare.html	(from http://www.hantang.com/english/en_index.html)
21:12:41	4005/4005	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Mar%202014%2006:53:51%20GMT	http://www.hantang.com/index.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/index-2.html	(from http://www.hantang.com/english/en_index.html)
21:12:41	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Oct%202022%2013:12:39%20GMT	http://www.hantang.com/english/_vti_bin/fpcount.exe/C:/Documents%20and%20Settings/Mavis/My%20Documents/%c2%a7%c3%9a%c2%aa%c2%ba%c2%ba%c3%b4%c2%af%c2%b8/?Page=en_index.html|Image=4	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/_vti_bin/fpcount.exe/C_/Documents%20and%20Settings/Mavis/My%20Documents/%c2%a7%c3%9a%c2%aa%c2%ba%c2%ba%c3%b4%c2%af%c2%b8/index7445.html	(from http://www.hantang.com/english/en_index.html)
21:12:41	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Oct%202022%2013:12:40%20GMT	http://www.hantang.com/chinese/ch_Articles/copyright4.files/editdata.mso	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/chinese/ch_Articles/copyright4.files/editdata.1e.delayed	(from http://www.hantang.com/chinese/ch_Articles/copyright4.htm)
